Fecha,Predicción_2025,IC_95_Low,IC_95_High
2025-01-01,29993.148994288753,29340.774455561834,30645.523533015672
2025-02-01,29953.28154983014,29300.90701110322,30605.656088557058
2025-03-01,30319.661761123578,29667.287222396662,30972.036299850493
2025-04-01,30286.842232058454,29634.467693331535,30939.216770785373
2025-05-01,30592.137844837947,29939.763306111032,31244.512383564863
2025-06-01,30517.47206424619,29865.097525519275,31169.846602973106
2025-07-01,30718.418100989813,30066.043562262894,31370.792639716732
2025-08-01,30679.74560548007,30027.371066753156,31332.120144206987
2025-09-01,30601.068191534203,29948.693652807284,31253.442730261122
2025-10-01,30902.779348219112,30250.404809492196,31555.153886946027
2025-11-01,31619.56308050282,30967.188541775904,32271.937619229735
2025-12-01,31921.77779532369,31269.403256596772,32574.15233405061
